1
50 50
15	-13	-100	-51	-41	-19	88	79	-75	2	11	-4	-4	-95	52	79	100	-91	38	-42	-50	29	-37	-17	-75	6	15	13	-78	-64	-18	30	30	18	40	-10	94	-53	-81	-63	99	6	-96	-53	21	64	86	55	22	-82
-31	33	67	72	83	-2	71	-88	24	-47	-62	22	53	55	73	21	50	16	-96	98	16	-99	-83	-55	49	68	-45	22	-84	73	-28	-46	21	-73	-30	22	93	-40	-57	9	23	5	-83	-24	-92	44	-60	21	26	-57
-36	31	-42	-5	50	45	-55	58	-62	-89	54	11	-41	-31	95	60	45	-38	3	-44	-50	85	18	99	22	71	-89	44	-73	100	-8	-31	83	-63	-56	-23	50	31	-98	46	42	-52	-51	14	-15	52	-24	-63	-88	-40
-71	-69	91	-69	-24	-64	-37	-21	-21	-54	-6	88	-20	-42	-98	74	-60	95	90	-91	56	-14	-32	22	-75	-10	33	-24	-19	70	64	-98	-79	-70	32	-10	57	66	-66	-9	5	-68	52	99	-34	-6	-35	-89	62	-58
33	17	-43	-8	80	48	-89	87	-87	-19	1	-100	68	26	16	-21	-40	76	0	9	7	30	-58	-3	82	21	94	-40	-11	98	95	-67	51	-21	-36	75	19	-7	-65	81	-63	17	92	34	-20	-37	-55	-94	23	-32
-89	-1	-73	-39	-85	41	79	75	65	43	-32	1	10	49	-64	-90	20	-5	-60	-76	-6	53	-18	-74	-67	-55	-16	11	-100	95	25	78	-82	-92	59	61	-92	94	66	68	-45	-68	-9	16	79	-18	31	68	89	5
-68	11	-12	22	-87	55	81	10	26	75	9	-68	11	-69	-36	44	80	-86	-18	30	49	-53	-11	72	-66	-98	-76	17	-76	-39	8	-98	52	19	92	-56	45	82	-52	-79	-82	-57	48	-75	69	-70	-97	30	-37	-3
-6	63	-46	-49	-81	-53	15	4	-37	62	-90	-40	-80	5	-5	28	-1	-37	-95	-58	86	30	100	-59	-13	-16	86	39	63	60	4	70	55	-54	-35	5	-34	-84	-80	-77	-8	57	-56	98	-26	78	-64	-37	88	77
35	-31	87	96	-43	-5	-27	58	9	-33	-35	20	58	-4	-88	-50	22	-24	13	28	54	-84	-19	-82	30	53	93	76	36	-72	33	98	15	61	36	-64	63	-79	-25	31	45	-23	29	-80	-32	-47	-56	-30	-6	-68
67	91	-72	-82	-53	10	-6	-74	-51	83	4	69	-11	90	24	12	45	93	22	-96	51	91	94	69	44	-56	31	-89	51	28	9	-50	33	-93	-73	-50	-73	9	-20	50	-41	11	-83	-94	46	-44	-44	-30	-66	94
-15	22	-52	20	-85	51	-64	49	80	-8	-5	-75	-60	-72	-88	-60	63	14	14	-41	-87	100	53	47	-42	-23	-77	51	-5	42	43	79	38	-93	74	-71	-96	81	15	-60	-46	82	29	84	42	59	-22	-82	-82	27
61	57	0	48	-13	9	-50	-4	92	4	19	41	-80	-71	23	-67	76	-77	69	27	73	-21	-41	-17	-100	-17	15	-40	67	-75	-7	97	-16	1	1	-14	99	-55	-10	-97	33	30	53	70	-79	-83	78	15	-81	-70
48	92	78	9	-28	-87	16	11	78	17	88	-87	-96	39	-45	-85	-13	81	-73	12	-43	-14	-99	-68	90	11	-100	-50	-13	-89	96	32	42	-99	68	-21	43	3	-34	38	-63	-33	-62	46	48	-23	61	94	-98	57
38	38	-99	-1	60	13	-97	17	-36	-92	-59	-34	-84	52	-91	93	-48	42	-61	-61	-1	-100	100	95	38	-28	66	81	79	27	100	-49	-19	-56	-9	24	20	32	7	94	96	-96	60	-5	52	20	-49	16	-65	-68
31	62	18	79	-44	-7	-20	-59	-86	11	35	73	-6	7	93	78	-52	10	-17	2	-31	84	-56	19	-47	-50	35	20	-64	27	-87	39	47	46	56	-41	71	-81	40	-84	-50	36	-89	-8	-26	62	-2	-48	10	-95
-30	11	-26	-38	-67	4	66	-74	92	90	12	87	-53	-33	-26	18	-11	96	-83	-5	82	-78	-51	79	39	2	1	58	-19	10	-30	26	-88	-82	-6	-100	-18	54	18	-66	11	33	-1	-4	-27	-37	-95	-12	48	-28
33	-47	-62	98	1	-81	80	12	-96	-94	-28	38	-81	-96	-14	-87	55	-9	57	-6	-24	-55	-18	-21	-11	-11	51	50	-2	19	45	40	-44	70	-32	-11	43	55	21	-76	0	52	5	57	-74	0	86	65	-35	-14
-19	-86	66	-44	-25	-98	-42	41	-59	10	26	-44	28	73	96	-87	28	-23	-19	-43	-35	44	-26	92	-91	-11	-27	-64	-21	62	45	-7	12	-8	-55	77	5	78	-7	68	-20	51	95	-44	69	79	92	-53	24	99
-36	25	-27	-21	53	19	-77	15	-56	-28	-88	-42	89	-18	29	16	-55	-3	89	-36	25	-3	91	30	40	57	-88	85	40	12	89	8	-79	-29	-62	-67	29	-86	28	63	-98	-54	-41	-2	-42	42	87	79	-94	-1
72	-94	18	90	67	56	31	8	-63	35	-87	-1	-37	-36	-23	36	-20	58	-61	-48	16	-24	43	89	23	74	3	-44	62	80	-54	-55	-84	63	78	82	-58	-87	57	33	-16	38	21	74	-69	42	-43	39	95	-97
55	-34	30	100	-50	-15	84	-18	2	-6	-94	-3	75	86	93	99	56	-61	70	66	5	53	6	88	46	8	-9	-78	-96	-4	-48	-45	84	83	32	-38	41	-100	-55	-38	-1	65	-57	51	-49	65	69	64	47	6
-62	27	-19	23	69	46	-25	16	-36	-98	-59	-36	36	79	-85	-32	72	-35	-36	29	-22	50	-19	-96	63	30	88	69	76	7	80	-17	-22	12	-46	-66	-96	6	79	0	-100	63	33	4	-92	-54	41	-39	6	-11
-81	72	9	-60	-1	8	25	-41	29	-99	-25	-82	-39	-61	73	-92	-3	48	31	-49	21	-98	-90	22	4	83	-72	-30	-65	-25	20	92	31	-51	-22	-49	68	-59	-70	-27	-29	48	62	80	70	-89	40	-33	-28	-58
13	-10	-60	-12	-61	39	75	-18	70	51	94	-22	25	-29	65	92	-91	-63	-1	-66	-9	45	-92	77	-16	50	29	67	50	11	-72	-84	3	-21	-62	-78	-35	-99	-49	-5	28	-55	-46	-47	98	58	-86	-55	-94	-24
-92	-15	-4	-15	-43	96	51	100	-75	-7	40	15	73	-48	36	-84	-1	42	-6	54	-87	-83	-8	-52	-7	-83	-7	-91	90	-11	-61	-87	-27	41	-62	-97	-48	38	-66	56	95	-2	-7	-13	-83	4	86	37	-37	-97
16	33	-35	44	95	-94	-28	60	63	-77	-55	79	-25	0	79	8	92	47	-78	97	-5	-41	-17	-48	93	-73	-96	-12	13	94	20	-11	-25	-5	10	-34	38	-42	58	-19	-22	-89	-63	88	46	63	15	78	32	-34
56	-82	2	14	-81	43	29	-13	8	70	-98	-97	-60	-1	-82	39	-25	55	-90	-72	89	80	36	-86	-27	95	51	14	34	34	25	14	-92	43	-96	51	-22	-6	74	23	56	-74	85	20	55	24	89	-96	-81	-55
-33	81	-38	68	37	-38	95	60	70	-71	1	-64	-58	-1	42	48	15	-16	3	42	-49	76	-29	88	-94	-10	-31	-31	-15	-73	-21	-58	31	-84	38	-69	-97	-72	-22	-8	-38	81	33	21	-29	35	-37	26	-56	20
-44	-56	-64	69	36	-34	0	-80	68	-44	-69	-67	86	-92	50	-50	-21	41	-59	83	-40	0	70	70	37	88	88	32	-50	-69	-17	10	-97	21	-70	-48	-63	-1	-47	29	55	-54	46	99	-52	53	16	-55	85	-53
21	-44	-68	-15	-27	79	70	93	-27	-96	57	-63	20	-88	90	24	-48	-93	-45	17	81	96	30	-47	-95	-61	0	-92	-75	5	-23	-7	-81	36	-42	39	13	-35	89	-19	-21	49	-56	-68	-61	-12	79	-89	-12	43
87	-63	87	29	-81	0	28	-13	-75	44	-24	-62	-39	38	51	32	19	79	33	-45	22	-62	-45	25	-72	-51	-60	18	-60	37	69	-86	12	-87	-53	-77	-74	7	3	52	53	20	-67	28	-27	-73	-26	94	47	-43
21	68	-67	-28	-22	19	81	47	96	33	25	98	48	-29	84	10	94	-18	-86	94	-84	47	38	-53	21	-72	-73	-4	30	-16	-62	72	95	73	-49	65	98	67	59	87	94	11	16	16	21	-1	23	50	-26	-54
92	51	29	-16	-31	-86	95	94	-52	-34	76	70	52	45	-29	69	38	-58	34	39	-52	-44	-6	81	69	13	-75	54	50	3	76	11	-66	-60	-39	11	6	-39	98	2	26	24	-3	89	31	82	-39	93	20	-25
-75	-39	-68	-68	-94	64	-31	-24	28	30	31	29	49	85	-11	-28	-73	87	-84	-75	-29	-73	-86	-35	21	-43	-79	-40	90	-95	70	-11	-1	86	64	-6	29	-89	-8	32	26	-78	87	-88	-33	67	-65	-44	19	72
17	61	-20	-14	-88	-42	-25	-28	97	-63	-71	-76	50	48	5	29	56	-37	14	45	-68	-90	85	-63	4	-77	14	94	-2	14	-65	20	-17	-17	90	-14	26	-71	-68	93	-44	-37	27	82	-3	56	36	72	28	-42
-66	-8	-20	63	-98	22	20	95	-80	86	75	-78	86	-42	-75	18	2	-57	-100	97	22	95	63	49	-24	-39	98	11	-2	-67	36	-37	-75	79	49	-76	62	-27	-88	51	-75	28	83	89	-98	-23	-31	2	60	-60
-28	-3	46	43	40	-35	26	89	-34	20	8	13	38	-34	66	-54	5	18	78	-30	76	70	-94	-55	33	76	-45	82	86	-9	-94	-9	10	-63	100	50	-46	-60	52	-21	94	77	-92	41	37	-4	18	70	59	-75
-92	-92	71	-34	9	23	-47	9	93	-22	-60	-61	28	18	-85	-73	22	66	91	-24	-29	-3	67	73	-36	-97	59	-88	61	42	-4	-95	-69	9	-52	-19	-22	62	-60	-98	-45	-67	51	-57	44	-91	-32	8	-93	8
-86	-56	-29	64	-9	-34	5	13	-90	23	-77	3	82	87	-52	11	48	-99	54	-41	65	34	15	-52	-77	76	49	2	-82	95	70	42	30	-34	88	68	76	-42	-94	-42	-39	81	42	89	-64	-87	46	38	40	-83
87	-37	-75	-16	-59	91	-89	-13	-61	73	-76	-53	81	-32	82	4	93	38	98	-58	20	47	14	-41	-23	28	-89	-74	-10	-64	-18	13	-30	-34	85	-89	19	-41	19	81	2	-49	-59	89	81	12	34	90	32	25
